Brand,Title,Info,Price,Price Before Discount,Discount,Stock
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO IDEACENTRE 3 07IAB7-90SM00A0TA (CLOUD GREY),"• Intel Core i5-12400
• 8GB (8GBx1) DDR4 3200MHz
• 256GB SSD M.2 2280 PCIe 4.0x4 NVMe
• Intel UHD Graphics 730 (Integrated) 1x VGA 1x HDMI
• Windows 11 Home
• USB Keyboard(Black) Thai / USB Mouse(Black)",17490.,17990.,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER NITRO N50-640-12F16G0TMGI/T005,"Intel Core i5-12400F
/ 16GB DDR4
/ 512GB SSD
/ NVIDIA Geforce RTX3060 12GB GDDR6
/ Windows 11 Home",38990.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS G10DK-R5600X171W,"AMD Ryzen 5 5600X
/ 16GB DDR4 U-DIMM
/ 512GB M.2 NVMe/PCIe 3.0 SSD
/ NVIDIA® GeForce® RTX2060S 8GB DDR6
/ Windows 11 Home",32990.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS U500MA-R4600G032W,"AMD Ryzen™ 5 4600G
/ 4GB DDR4
/ 256GB M.2 NVMe™ PCIe® 3.0 SSD
/ Integrated
/ Windows 11 Home",15990.,,,
MSI,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) MSI DT MEG TRIDENT X 12VTD-083TH,"● Intel Core i7-12700KF
● 16GB DDR5 4800MHz U-DIMMs
● 1TB M.2 PCle 2280 SSD
● GeForce RTX™ 3070 VENTUS 3X 8G OC LHR
● Windows 11 Home",82900.,,,
MSI,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) MSI MAG CODEX 5 11TC-1004TH,Intel Core™ i5-11400F / 16GB DDR4 3200MHz / 1TB M.2 2280 SSD / NVIDIA GeForce RTX™ 3060 VENTUS 2X 12G OC / Windows 11 Home,45000.,,,
DELL,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) DELL VOSTRO3910-W2687565MTH,"Intel Core i5-12400
/ 8GB (8GBx1) DDR4 3200MHz
/ 256GB SSD NVMe + 1TB 7200RPM
/ Intel® UHD Graphics 730
/ Windows 11 Home + Office Home & Student",22990.,23990.,,
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO IC5-14IAB7-90T3005PTA,"Intel Core i7-12700
/ 8GB DDR4 3200MHz
/ 512GB SSD M.2 2280 PCIe 3.0x4 NVMe
/ AMD Radeon RX 6400 4GB GDDR6
/ Windows 11 Home",31490.,,,
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO LEGION T7-34IAZ7-90S20073TL,"Intel Core i9-12900K
/ 32GB (16GBx2) DDR5 4800MHz
/ 1TB SSD + 2TB HDD
/ NVIDIA GeForce RTX 3080 Ti 12GB GDDR6X
/ Windows 11 Home",123900.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS G10CE-51140F552W,"Intel Core i5-11400F
/ 16GB DDR4 U-DIMM
/ 512GB M.2 NVMe/PCIe SSD
/ NVIDIA® GeForce® RTX2060S 8GB DDR6
/ Windows 11 Home",31990.,37990.,,
HP,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) HP PAVILLION TP01-3002D,"Intel Core i5-12400
/ 8GB DDR4 3200MHz
/ 256 GB SSD + 1 TB HDD
/ NVIDIA® GeForce® GTX 1650 SUPER™
/ Windows 11 Home",24990.,,,
HP,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) HP PAVILLION TP01-3004D,"Intel Core i5-12400
/ 8GB DDR4 3200MHz
/ 256 GB SSD + 1 TB HDD
/ Integrated
/ Windows 11 Home",18990.,,,
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO IDEACENTRE 5-14IAB7-90T3005NTA,"Intel Core i5-12400
/ 8GB (8GBx1) DDR4 3200MHz
/ 512GB PCIe M.2 SSD NVMe
/ Intel® UHD Graphics 730
/ Windows 11 Home",19990.,,,
DELL,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) DELL VOSTRO3910-W2685010MTH,"Intel Core i3-12100
/ 8GB (8GBx1) DDR4 3200MHz
/ 256GB PCIe M.2 SSD NVMe
/ Intel® UHD Graphics 730
/ Windows 11 Home + Office Home & Student 2021",17990.,,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER ASPIRE TC-1760-1248G0T0MI/T004,"Intel Core i5-12400
/ 8GB DDR4
/ 256GB SSD
/ Integrated
/ Windows 11 Home",18990.,19990.,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER ASPIRE TC-1760-1248G0T0Mi/T002,"Intel Core i5-12400
/ 8GB DDR4
/ 512GB SSD
/ Integrated
/ Windows 11 Home + Office Home & Student",20990.,21490.,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER ASPIRE TC-1760-1218G0T0Mi/T001,"Intel Core i3-12100
/ 8GB DDR4
/ 256GB SSD
/ Integrated
/ Windows 11 Home",16990.,17990.,,
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO IDEACENTRE 5-14ACN6-90RX009BTA,"AMD Ryzen 5 5600G
/ 8GB DDR4-3200
/ 512GB SSD M.2 2280 PCIe NVMe
/ Integrated AMD Radeon Graphics
/ Windows 11 Home",17990.,,,
LENOVO,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) LENOVO IDEACENTRE 5 14IAB7-90T3005LTA,"Intel Core i3-12100
/ 8GB(1x8GB) DDR4 3200MHz
/ 256GB SSD M.2 2280 PCIe 4.0x4 NVMe
/ Integrated Intel UHD Graphics 730
/ Windows 11 Home",17490.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS S500SD-312100003WS,"Intel Core I3-12100
/ 4GB DDR4
/ 256GB PCIe 3/NVMe M.2 SSD
/ Intel UHD Graphics 730 (Integrated)
/ Windows 11 Home + Office Home & Student 2021",16990.,17990.,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS S500SC-511400081W,"Intel Core I5-11400
/ 8GB DDR4
/ 256GB NVMe M.2 SSD
/ Intel UHD Graphics 730 (Integrated)
/ Windows 11 Home",17990.,,,
DELL,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) DELL VOSTRO3910-W2687600MTH,"Intel Core i7-12700
/ 8GB (8GBx1) DDR4 3200MHz
/ 512GB PCIe M.2 SSD NVMe
/ Intel® UHD Graphics 770
/ Windows 11 Home + Office Home & Student 2021",28490.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS S500SC-310105055W,"• Intel Core I3-10105
• 4GB DDR4
• 256GB PCIe 3/NVMe M.2 SSD
• Intel UHD Graphics 630 (Integrated) (VGA - HDMI)
• Windows 11 Home
• Wired Keyboard / Wired Optical Mouse",14990.,,,
ASUS,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ASUS S500TD-512400012W,"• Intel Core I5-12400
• 8GB DDR4
• 512GB PCIe 3/NVMe M.2 SSD
• Nvidia GeForce GT 730 2GB GDDR5 (VGA - DVI - HDMI)
• Windows 11 Home
• Wired Keyboard / Wired Optical Mouse",23990.,,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER NITRO N50-120-R7516G0TMGI/T009,AMD Ryzen 7 5800 / 16GB DDR4 / 512GB PCIe SSD / NVIDIA GeForce RTX 3060Ti 8 GB GDDR6 / Windows 11 Home,33990.,,,
ALIENWARE,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ)  ALIENWARE AURORA R13-W269251003TH,Intel Core i7-12700KF / 16GB DDR5 / 512 GB PCIe M.2 / NVIDIA GeForce RTX 3080 Ti 12 GB / Windows 11 Home / Office Home & Student 2021,127990.,137990.,,
MSI,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) MSI PRO DP21 11M-030TH,"Ci5-11400/IGP/DDR4 8GB (8GB*1)/1T 2.5"" HDD/W10H",20900.,,,
ACER,DESKTOP PC (คอมพิวเตอร์ตั้งโต๊ะ) ACER PREDATOR ORION 3000 PO3-630-1148G0TMGI/T001,Intel Core I5-11400F / 8GB DDR4 / 512GB PCIe M.2 / NVIDIA Geforce RTX 3070 8 GB LHR / EShell,32990.,,,
